LSOA code,local authority name,local authority code,All usual residents,Born in the UK,Aged 0 to 4,Aged 5 to 7,Aged 8 to 9,Aged 10 to 14,Aged 15 ,Aged 16 to 17,Aged 18 to 19,Aged 20 to 24,Aged 25 to 29,Aged 30 to 44,Aged 45 to 59,Aged 60 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 to 89,Aged 90 or over
E01000001,City of London,E09000001,1465,986,38,10,4,14,4,22,30,100,105,116,28,3,1,2,2,0
E01000002,City of London,E09000001,1436,1048,28,11,6,17,3,15,19,85,96,89,12,3,3,0,0,1
E01000003,City of London,E09000001,1346,909,27,11,6,22,13,29,35,98,107,79,7,1,1,0,0,1
E01000005,City of London,E09000001,985,598,41,6,6,18,7,13,29,106,74,66,17,2,2,0,0,0
E01032739,City of London,E09000001,1044,520,34,6,7,18,6,34,32,134,128,108,16,1,0,0,0,0
E01032740,City of London,E09000001,1099,609,25,15,5,22,3,31,42,107,126,82,24,2,5,0,1,0
E01000006,Barking and Dagenham,E09000002,1703,829,80,32,12,60,19,42,60,220,166,157,19,3,3,1,0,0
E01000007,Barking and Dagenham,E09000002,1391,632,74,28,18,54,13,21,41,171,151,160,26,1,1,0,0,0
E01000008,Barking and Dagenham,E09000002,1544,738,107,41,31,67,22,32,44,127,125,176,32,1,1,0,0,0
E01000009,Barking and Dagenham,E09000002,1773,734,69,35,18,50,22,35,69,281,211,188,40,10,9,2,0,0
E01000011,Barking and Dagenham,E09000002,1634,703,76,35,19,63,11,47,66,261,173,138,35,2,5,0,0,0
E01000012,Barking and Dagenham,E09000002,1901,807,101,36,24,59,11,43,64,269,223,223,27,7,7,0,0,0
E01000013,Barking and Dagenham,E09000002,1976,1466,45,16,18,40,6,28,22,108,75,125,25,0,2,0,0,0
E01000014,Barking and Dagenham,E09000002,1340,1017,32,10,13,23,5,16,22,59,59,72,10,1,1,0,0,0
E01000015,Barking and Dagenham,E09000002,2241,1618,65,34,16,38,13,24,40,96,141,135,21,0,0,0,0,0
E01000016,Barking and Dagenham,E09000002,1637,1312,39,18,13,20,1,13,19,60,65,68,5,1,3,0,0,0
E01000017,Barking and Dagenham,E09000002,1594,1181,36,13,7,22,6,18,19,84,85,106,15,1,1,0,0,0
E01000018,Barking and Dagenham,E09000002,1597,1230,43,18,9,30,11,9,21,44,72,96,12,1,1,0,0,0
E01000019,Barking and Dagenham,E09000002,1407,986,55,20,15,24,5,16,34,67,72,94,14,1,4,0,0,0
E01000020,Barking and Dagenham,E09000002,1834,1363,52,20,10,27,8,13,25,81,102,111,17,1,4,0,0,0
E01000021,Barking and Dagenham,E09000002,1579,1056,38,21,15,45,18,38,34,100,85,98,20,4,6,1,0,0
E01000022,Barking and Dagenham,E09000002,1314,969,43,12,14,22,3,15,23,66,58,67,17,0,3,1,1,0
E01000024,Barking and Dagenham,E09000002,1336,947,45,12,6,37,12,13,28,75,70,71,16,3,1,0,0,0
E01000025,Barking and Dagenham,E09000002,1609,1233,37,15,6,32,5,16,18,63,77,93,9,2,0,3,0,0
E01000027,Barking and Dagenham,E09000002,1709,1447,31,10,8,17,4,10,19,51,48,52,12,0,0,0,0,0
E01000028,Barking and Dagenham,E09000002,1549,1078,61,30,15,33,8,15,32,94,89,81,10,1,2,0,0,0
E01000029,Barking and Dagenham,E09000002,1602,1170,31,9,17,36,4,29,44,110,65,71,12,1,3,0,0,0
E01000030,Barking and Dagenham,E09000002,1915,1464,44,20,10,27,15,21,27,90,82,102,8,1,3,1,0,0
E01000031,Barking and Dagenham,E09000002,1617,1162,49,29,15,36,15,32,26,89,62,79,16,4,1,2,0,0
E01000032,Barking and Dagenham,E09000002,1629,1218,40,17,14,21,10,20,30,96,70,79,12,0,2,0,0,0
E01000033,Barking and Dagenham,E09000002,1361,1084,22,12,17,16,3,12,17,55,44,68,10,0,1,0,0,0
E01000034,Barking and Dagenham,E09000002,1444,1205,30,9,5,23,1,4,14,44,38,57,11,0,2,1,0,0
E01000035,Barking and Dagenham,E09000002,1610,1190,36,19,19,32,15,18,21,73,76,84,24,3,0,0,0,0
E01000036,Barking and Dagenham,E09000002,1353,948,49,18,11,33,8,28,24,83,60,82,8,1,0,0,0,0
E01000037,Barking and Dagenham,E09000002,1688,1466,20,11,6,38,8,14,12,43,37,27,6,0,0,0,0,0
E01000038,Barking and Dagenham,E09000002,1447,1244,24,12,10,17,2,7,13,42,27,41,6,2,0,0,0,0
E01000039,Barking and Dagenham,E09000002,1603,1377,19,11,12,15,2,17,12,33,50,43,8,1,3,0,0,0
E01000040,Barking and Dagenham,E09000002,1569,1108,38,20,15,41,6,16,32,101,106,71,8,4,3,0,0,0
E01000041,Barking and Dagenham,E09000002,1682,1225,48,20,9,36,5,22,27,92,87,95,15,1,0,0,0,0
E01000042,Barking and Dagenham,E09000002,1788,1200,69,32,15,53,12,25,26,106,102,114,30,0,4,0,0,0
E01000043,Barking and Dagenham,E09000002,1358,888,55,28,9,43,6,13,27,89,82,107,6,0,4,1,0,0
E01000044,Barking and Dagenham,E09000002,1798,970,70,39,19,56,16,33,51,181,166,165,24,2,4,2,0,0
E01000045,Barking and Dagenham,E09000002,1650,1141,53,19,15,36,5,15,31,108,101,111,13,0,1,1,0,0
E01000046,Barking and Dagenham,E09000002,1779,1348,43,28,17,32,6,14,12,88,82,97,7,0,4,1,0,0
E01000049,Barking and Dagenham,E09000002,1820,1006,105,35,21,53,13,35,50,165,156,152,22,3,4,0,0,0
E01000050,Barking and Dagenham,E09000002,1661,882,94,32,23,47,6,34,60,177,136,140,17,5,7,1,0,0
E01000051,Barking and Dagenham,E09000002,1927,927,115,49,35,79,29,38,47,195,174,198,37,2,2,0,0,0
E01000052,Barking and Dagenham,E09000002,2014,1145,110,32,25,51,19,40,58,159,188,152,23,2,9,1,0,0
