LSOA code,local authority name,local authority code,All Usual residents,United Kingdom,European Union EU14,Other EU countries,non-EU Europe,Africa,Middle East and Asia,Americas and Caribbean,"Australasia, other Oceania and Other including British Overseas Territories",
E01000001,City of London,E09000001,1465,986,138,12,31,42,129,74,53,
E01000002,City of London,E09000001,1436,1048,118,32,27,27,83,57,44,
E01000003,City of London,E09000001,1346,909,134,15,32,51,121,54,30,
E01000005,City of London,E09000001,985,598,74,14,14,66,144,66,9,
E01032739,City of London,E09000001,1044,520,162,34,42,35,124,85,42,
E01032740,City of London,E09000001,1099,609,137,36,35,42,112,87,41,
E01000006,Barking and Dagenham,E09000002,1703,829,47,179,19,108,487,30,4,
E01000007,Barking and Dagenham,E09000002,1391,632,52,94,44,213,318,36,2,
E01000008,Barking and Dagenham,E09000002,1544,738,40,74,74,356,234,28,0,
E01000009,Barking and Dagenham,E09000002,1773,734,39,91,35,148,673,46,7,
E01000011,Barking and Dagenham,E09000002,1634,703,32,97,17,100,663,18,4,
E01000012,Barking and Dagenham,E09000002,1901,807,77,141,63,308,454,50,1,
E01000013,Barking and Dagenham,E09000002,1976,1466,53,100,22,177,128,25,5,
E01000014,Barking and Dagenham,E09000002,1340,1017,40,82,17,118,49,15,2,
E01000015,Barking and Dagenham,E09000002,2241,1618,57,173,30,240,98,24,1,
E01000016,Barking and Dagenham,E09000002,1637,1312,32,41,15,160,59,18,0,
E01000017,Barking and Dagenham,E09000002,1594,1181,36,87,27,176,66,20,1,
E01000018,Barking and Dagenham,E09000002,1597,1230,29,80,14,171,68,5,0,
E01000019,Barking and Dagenham,E09000002,1407,986,34,53,21,136,156,20,1,
E01000020,Barking and Dagenham,E09000002,1834,1363,42,67,26,201,106,28,1,
E01000021,Barking and Dagenham,E09000002,1579,1056,39,75,28,158,191,29,3,
E01000022,Barking and Dagenham,E09000002,1314,969,32,64,13,129,88,19,0,
E01000024,Barking and Dagenham,E09000002,1336,947,33,61,17,125,123,30,0,
E01000025,Barking and Dagenham,E09000002,1609,1233,28,75,16,126,112,18,1,
