LSOA code,local authority name,local authority code,Usual residents aged 3+,Main language is English,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
E01000001,City of London,E09000001,1436,1264,131,38,3,0
E01000002,City of London,E09000001,1390,1257,94,32,6,1
E01000003,City of London,E09000001,1308,1109,121,61,15,2
E01000005,City of London,E09000001,962,682,131,89,52,8
E01032739,City of London,E09000001,1032,794,187,46,5,0
E01032740,City of London,E09000001,1084,870,166,39,8,1
E01000006,Barking and Dagenham,E09000002,1595,1006,227,228,113,21
E01000007,Barking and Dagenham,E09000002,1274,789,216,190,69,10
E01000008,Barking and Dagenham,E09000002,1452,988,182,187,81,14
E01000009,Barking and Dagenham,E09000002,1668,946,303,264,134,21
E01000011,Barking and Dagenham,E09000002,1537,842,264,286,122,23
E01000012,Barking and Dagenham,E09000002,1720,1027,251,320,105,17
E01000013,Barking and Dagenham,E09000002,1872,1609,112,106,42,3
E01000014,Barking and Dagenham,E09000002,1272,1093,73,72,27,7
E01000015,Barking and Dagenham,E09000002,2064,1693,134,166,65,6
E01000016,Barking and Dagenham,E09000002,1556,1427,59,50,19,1
E01000017,Barking and Dagenham,E09000002,1497,1304,73,81,33,6
E01000018,Barking and Dagenham,E09000002,1511,1318,91,73,26,3
E01000019,Barking and Dagenham,E09000002,1343,1099,88,105,44,7
E01000020,Barking and Dagenham,E09000002,1740,1490,124,71,50,5
E01000021,Barking and Dagenham,E09000002,1481,1155,148,113,51,14
E01000022,Barking and Dagenham,E09000002,1226,1038,73,77,32,6
E01000024,Barking and Dagenham,E09000002,1245,1011,104,90,37,3
E01000025,Barking and Dagenham,E09000002,1522,1282,82,115,35,8
E01000027,Barking and Dagenham,E09000002,1621,1489,78,27,23,4
E01000028,Barking and Dagenham,E09000002,1463,1242,93,88,33,7
E01000029,Barking and Dagenham,E09000002,1547,1325,101,88,28,5
E01000030,Barking and Dagenham,E09000002,1757,1518,87,100,44,8
E01000031,Barking and Dagenham,E09000002,1558,1302,125,94,30,7
E01000032,Barking and Dagenham,E09000002,1550,1299,106,94,46,5
E01000033,Barking and Dagenham,E09000002,1274,1146,67,50,9,2
E01000034,Barking and Dagenham,E09000002,1397,1280,55,45,14,3
E01000035,Barking and Dagenham,E09000002,1531,1318,77,93,36,7
E01000036,Barking and Dagenham,E09000002,1275,1063,92,79,34,7
E01000037,Barking and Dagenham,E09000002,1643,1543,53,34,12,1
E01000038,Barking and Dagenham,E09000002,1396,1287,62,38,9,0
E01000039,Barking and Dagenham,E09000002,1528,1435,44,41,7,1
E01000040,Barking and Dagenham,E09000002,1492,1186,123,114,59,10
E01000041,Barking and Dagenham,E09000002,1593,1316,136,95,33,13
E01000042,Barking and Dagenham,E09000002,1656,1279,153,145,71,8
E01000043,Barking and Dagenham,E09000002,1297,948,143,136,64,6
E01000044,Barking and Dagenham,E09000002,1694,1159,217,215,87,16
E01000045,Barking and Dagenham,E09000002,1553,1282,114,108,42,7
E01000046,Barking and Dagenham,E09000002,1679,1427,99,110,39,4
E01000049,Barking and Dagenham,E09000002,1659,1167,195,208,81,8
E01000050,Barking and Dagenham,E09000002,1554,999,214,251,72,18
E01000051,Barking and Dagenham,E09000002,1785,1142,259,250,124,10
E01000052,Barking and Dagenham,E09000002,1872,1270,234,266,87,15
E01000053,Barking and Dagenham,E09000002,1397,1177,86,90,35,9
E01000054,Barking and Dagenham,E09000002,1628,1431,73,82,36,6
E01000055,Barking and Dagenham,E09000002,1472,1268,90,86,22,6
E01000056,Barking and Dagenham,E09000002,1480,1272,94,77,30,7
E01000057,Barking and Dagenham,E09000002,1390,1173,103,83,28,3
