LSOA code,local authority name,local authority code,All households,One person Aged 65+,One person Aged up to 64,Family: all aged 65+,Married or civil partnership couple: No children,Married or civil partnership couple: Dependent children,Married or civil partnership couple: non-dependent children,Cohabiting couple: No children,Cohabiting couple: Dependent children,Cohabiting couple: Non-dependent children,Lone parent: dependent children,Lone parent: non-dependent children,Other with dependent children,All other types,
E01000001,City of London,E09000001,876,120,333,51,136,60,16,65,7,0,9,14,4,61,
E01000002,City of London,E09000001,830,122,296,39,129,66,12,74,20,1,13,9,7,42,
E01000003,City of London,E09000001,817,164,343,24,61,36,8,60,15,3,33,16,5,49,
E01000005,City of London,E09000001,467,61,167,8,27,49,12,19,12,1,28,16,15,52,
E01032739,City of London,E09000001,676,17,392,3,80,17,6,70,3,0,8,2,3,75,
E01032740,City of London,E09000001,719,42,415,12,80,15,4,63,6,0,0,5,0,77,
E01000006,Barking and Dagenham,E09000002,543,24,73,19,50,122,31,15,17,3,33,21,56,79,
E01000007,Barking and Dagenham,E09000002,612,40,213,4,38,91,4,38,17,0,63,11,41,52,
E01000008,Barking and Dagenham,E09000002,521,12,117,2,24,83,14,10,18,5,94,25,51,66,
E01000009,Barking and Dagenham,E09000002,638,64,127,17,46,93,43,17,3,1,43,21,64,99,
E01000011,Barking and Dagenham,E09000002,457,19,51,8,23,93,27,6,12,0,32,19,66,101,
E01000012,Barking and Dagenham,E09000002,698,18,147,4,44,147,11,21,25,5,128,18,47,83,
E01000013,Barking and Dagenham,E09000002,773,85,116,47,68,119,40,20,35,2,105,49,46,41,
E01000014,Barking and Dagenham,E09000002,515,56,87,28,35,74,38,18,35,1,74,20,27,22,
E01000015,Barking and Dagenham,E09000002,836,58,137,21,52,144,29,31,47,8,189,28,50,42,
E01000016,Barking and Dagenham,E09000002,626,67,109,30,55,88,40,15,40,5,87,29,36,25,
E01000017,Barking and Dagenham,E09000002,609,68,110,25,50,91,26,17,26,4,74,39,38,41,
E01000018,Barking and Dagenham,E09000002,612,68,90,24,42,93,40,10,37,4,100,38,34,32,
E01000019,Barking and Dagenham,E09000002,504,48,65,25,36,93,29,12,18,2,83,36,23,34,
E01000020,Barking and Dagenham,E09000002,650,78,113,20,34,130,37,11,36,6,90,20,40,35,
E01000021,Barking and Dagenham,E09000002,593,54,135,9,25,79,26,17,21,1,87,33,50,56,
E01000022,Barking and Dagenham,E09000002,474,45,58,14,33,73,25,8,41,9,79,33,29,27,
E01000024,Barking and Dagenham,E09000002,456,48,50,8,46,83,26,8,15,4,73,28,40,27,
E01000025,Barking and Dagenham,E09000002,629,63,96,23,43,99,43,20,34,6,107,37,28,30,
E01000027,Barking and Dagenham,E09000002,641,96,79,34,32,96,39,6,39,5,115,42,25,33,
E01000028,Barking and Dagenham,E09000002,612,86,111,20,26,76,24,24,24,3,118,34,35,31,
E01000029,Barking and Dagenham,E09000002,690,152,72,105,62,94,42,12,17,3,45,34,21,31,
E01000030,Barking and Dagenham,E09000002,770,75,143,33,30,106,27,25,39,6,171,38,40,37,
E01000031,Barking and Dagenham,E09000002,598,97,62,33,64,120,51,13,12,3,51,28,32,32,
E01000032,Barking and Dagenham,E09000002,631,78,103,42,42,105,53,15,17,3,67,33,30,43,
E01000033,Barking and Dagenham,E09000002,533,61,97,23,34,78,23,11,42,6,78,33,19,28,
E01000034,Barking and Dagenham,E09000002,517,77,65,30,46,72,35,16,21,2,71,31,34,17,
E01000035,Barking and Dagenham,E09000002,567,59,92,35,40,98,49,15,25,2,71,25,28,28,
E01000036,Barking and Dagenham,E09000002,469,41,57,32,44,99,31,25,12,0,29,21,42,36,
E01000037,Barking and Dagenham,E09000002,579,61,68,51,60,119,71,25,26,4,28,25,18,23,
E01000038,Barking and Dagenham,E09000002,563,95,58,55,54,115,47,11,20,0,42,26,19,21,
E01000039,Barking and Dagenham,E09000002,659,90,95,47,69,108,47,36,27,1,67,32,15,25,
E01000040,Barking and Dagenham,E09000002,640,70,118,25,49,91,32,21,22,4,97,32,33,46,
E01000041,Barking and Dagenham,E09000002,607,56,93,20,52,102,48,18,38,4,81,28,43,24,
E01000042,Barking and Dagenham,E09000002,679,71,143,20,33,97,19,21,33,3,117,35,38,49,
E01000043,Barking and Dagenham,E09000002,461,59,58,27,25,90,31,5,12,4,37,33,40,40,
E01000044,Barking and Dagenham,E09000002,629,50,102,31,40,116,30,19,24,2,63,21,61,70,
E01000045,Barking and Dagenham,E09000002,602,50,85,18,35,101,27,15,29,0,107,33,46,56,
E01000046,Barking and Dagenham,E09000002,654,58,87,26,60,125,33,21,35,7,109,32,33,28,
E01000049,Barking and Dagenham,E09000002,643,51,116,16,25,127,17,18,24,0,138,26,43,42,
E01000050,Barking and Dagenham,E09000002,615,90,102,20,43,99,25,9,11,4,79,33,45,55,
E01000051,Barking and Dagenham,E09000002,725,19,216,2,39,106,14,16,30,1,162,23,51,46,
E01000052,Barking and Dagenham,E09000002,769,89,139,23,52,116,30,14,25,4,101,49,53,74,
E01000053,Barking and Dagenham,E09000002,645,89,152,18,46,81,17,40,24,5,80,25,36,32,
E01000054,Barking and Dagenham,E09000002,638,56,93,45,55,110,45,14,35,4,82,34,45,20,
E01000055,Barking and Dagenham,E09000002,560,50,79,27,48,106,39,16,29,3,79,27,36,21,
E01000056,Barking and Dagenham,E09000002,573,39,94,17,39,116,23,23,31,5,103,37,21,25,
E01000057,Barking and Dagenham,E09000002,537,53,68,14,36,87,30,14,23,3,102,35,41,31,
E01000058,Barking and Dagenham,E09000002,690,71,117,15,56,104,38,21,27,1,110,21,47,62,
E01000059,Barking and Dagenham,E09000002,578,69,84,18,37,95,44,11,30,5,100,35,32,18,
E01000060,Barking and Dagenham,E09000002,770,105,181,38,50,93,22,23,31,0,112,37,54,24,
E01000061,Barking and Dagenham,E09000002,668,37,155,3,21,89,13,27,39,3,197,33,26,25,
E01000062,Barking and Dagenham,E09000002,761,122,108,41,49,107,55,17,39,5,106,33,38,41,
E01000063,Barking and Dagenham,E09000002,635,81,104,29,48,93,33,17,34,5,97,27,42,25,
E01000064,Barking and Dagenham,E09000002,709,104,94,29,53,91,46,25,34,6,114,33,39,41,
E01000065,Barking and Dagenham,E09000002,774,177,144,37,43,96,22,27,30,4,90,29,46,29,
E01000066,Barking and Dagenham,E09000002,683,90,118,30,39,131,36,12,19,6,59,33,71,39,
E01000067,Barking and Dagenham,E09000002,679,86,86,33,50,146,57,19,11,4,59,29,55,44,
E01000068,Barking and Dagenham,E09000002,462,38,46,27,32,94,39,9,5,3,22,27,55,65,
E01000069,Barking and Dagenham,E09000002,631,58,46,44,57,172,69,8,16,0,33,24,69,35,
E01000070,Barking and Dagenham,E09000002,480,47,38,43,35,108,56,9,9,1,21,22,51,40,
E01000071,Barking and Dagenham,E09000002,785,122,100,41,71,160,59,16,17,5,63,23,68,40,
E01000072,Barking and Dagenham,E09000002,784,115,127,33,43,122,31,17,37,1,145,30,36,47,
E01000073,Barking and Dagenham,E09000002,627,70,105,26,39,108,36,17,36,1,91,34,32,32,
E01000074,Barking and Dagenham,E09000002,629,80,120,20,37,92,38,24,36,3,102,32,28,17,
E01000075,Barking and Dagenham,E09000002,622,68,91,43,58,109,40,17,32,2,60,28,39,35,
E01000076,Barking and Dagenham,E09000002,710,81,122,24,48,112,36,20,44,3,110,27,46,37,
E01000077,Barking and Dagenham,E09000002,560,59,90,20,48,84,25,13,28,2,90,34,35,32,
E01000078,Barking and Dagenham,E09000002,649,75,111,21,46,97,28,17,32,3,114,41,40,24,
E01000079,Barking and Dagenham,E09000002,609,100,94,23,42,104,24,14,24,5,75,42,36,26,
E01000080,Barking and Dagenham,E09000002,594,74,97,32,37,86,37,14,27,5,94,28,36,27,
E01000081,Barking and Dagenham,E09000002,648,62,108,34,52,103,47,21,38,4,96,30,32,21,
E01000082,Barking and Dagenham,E09000002,672,73,150,15,48,120,22,23,31,4,85,33,37,31,
E01000083,Barking and Dagenham,E09000002,629,71,72,27,42,100,33,24,36,5,101,49,41,28,
E01000084,Barking and Dagenham,E09000002,517,47,91,21,44,79,19,14,35,2,74,30,24,37,
E01000085,Barking and Dagenham,E09000002,640,56,115,31,49,85,38,20,40,4,93,28,51,30,
E01000086,Barking and Dagenham,E09000002,508,55,66,24,42,87,34,6,35,5,68,26,37,23,
E01000087,Barking and Dagenham,E09000002,503,52,80,15,33,72,42,13,22,3,77,25,35,34,
E01000088,Barking and Dagenham,E09000002,640,57,111,30,37,113,37,23,31,5,88,26,44,38,
E01000089,Barking and Dagenham,E09000002,612,40,92,27,46,111,45,10,34,6,110,37,20,34,
E01000090,Barking and Dagenham,E09000002,549,39,71,28,46,90,37,16,26,3,88,28,53,24,
E01000091,Barking and Dagenham,E09000002,633,55,140,26,32,81,25,16,32,4,113,28,51,30,
E01000093,Barking and Dagenham,E09000002,642,46,200,14,40,80,17,17,27,3,100,23,47,28,
E01000094,Barking and Dagenham,E09000002,517,10,134,0,34,92,11,20,27,1,97,10,36,45,
E01000095,Barking and Dagenham,E09000002,549,37,86,19,38,123,25,18,32,1,81,22,40,27,
E01000096,Barking and Dagenham,E09000002,639,31,115,18,16,115,23,13,24,2,159,35,52,36,
E01000097,Barking and Dagenham,E09000002,708,166,89,38,39,113,43,18,35,3,90,21,19,34,
E01000098,Barking and Dagenham,E09000002,625,45,102,23,50,117,38,14,19,5,106,36,39,31,
E01000099,Barking and Dagenham,E09000002,666,75,89,26,56,119,36,21,47,7,90,37,24,39,
E01000100,Barking and Dagenham,E09000002,615,72,83,26,46,100,27,27,40,4,91,32,37,30,
E01000101,Barking and Dagenham,E09000002,567,73,71,15,52,93,33,13,36,7,71,30,39,34,
E01000102,Barking and Dagenham,E09000002,625,83,101,31,48,107,28,14,31,2,94,25,37,24,
E01000103,Barking and Dagenham,E09000002,600,42,95,16,47,89,30,14,27,4,113,31,44,48,
E01000104,Barking and Dagenham,E09000002,739,67,214,14,42,96,31,18,30,2,124,30,42,29,
E01000105,Barking and Dagenham,E09000002,915,130,199,35,62,115,32,32,44,4,140,44,37,41,
E01000106,Barking and Dagenham,E09000002,916,118,275,34,60,94,29,32,39,2,148,23,36,26,
E01000107,Barking and Dagenham,E09000002,601,63,68,57,56,100,45,14,24,6,75,30,41,22,
E01000108,Barking and Dagenham,E09000002,652,48,147,40,58,92,47,40,18,4,88,18,25,27,
E01000110,Barking and Dagenham,E09000002,501,44,48,38,52,91,52,16,21,5,48,22,27,37,
E01000111,Barking and Dagenham,E09000002,732,110,115,45,48,106,44,20,30,2,89,36,48,39,
E01000112,Barking and Dagenham,E09000002,739,79,134,39,56,124,45,34,12,1,88,34,32,61,
E01000113,Barking and Dagenham,E09000002,633,58,111,29,48,116,45,15,22,3,65,28,37,56,
E01000114,Barking and Dagenham,E09000002,758,75,100,55,75,137,44,22,25,7,106,28,55,29,
E01032580,Barking and Dagenham,E09000002,471,34,70,11,33,77,19,6,27,4,88,19,28,55,
E01033587,Barking and Dagenham,E09000002,631,20,150,4,52,100,9,33,24,1,113,23,42,60,
E01034469,Barking and Dagenham,E09000002,120,25,10,10,11,16,10,4,1,1,15,7,7,3,
E01034470,Barking and Dagenham,E09000002,488,45,69,18,39,91,43,11,25,4,63,26,30,24,
E01034471,Barking and Dagenham,E09000002,367,47,86,13,21,40,12,26,12,1,44,9,14,42,
E01034472,Barking and Dagenham,E09000002,133,9,57,2,18,19,1,6,1,0,11,3,4,2,
E01034473,Barking and Dagenham,E09000002,303,14,55,4,35,48,16,19,3,0,19,7,24,59,
E01034474,Barking and Dagenham,E09000002,800,18,171,3,107,160,9,50,21,2,90,24,49,96,
E01034475,Barking and Dagenham,E09000002,578,96,75,28,31,97,27,6,17,2,61,43,46,49,
E01034476,Barking and Dagenham,E09000002,231,19,40,1,10,62,3,7,15,1,40,6,9,18,
E01034477,Barking and Dagenham,E09000002,166,1,25,0,6,56,6,3,14,0,28,5,9,13,
E01034478,Barking and Dagenham,E09000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E01034479,Barking and Dagenham,E09000002,1262,78,269,13,83,245,18,27,46,2,286,42,86,67,
E01000115,Barnet,E09000003,485,40,30,53,57,144,71,1,6,2,21,16,22,22,
E01000116,Barnet,E09000003,623,69,61,53,59,169,62,17,22,2,28,23,22,36,
E01000117,Barnet,E09000003,762,95,120,71,84,135,59,32,25,2,42,35,17,45,
E01000118,Barnet,E09000003,709,83,82,42,61,165,67,22,24,3,47,41,36,36,
E01000119,Barnet,E09000003,607,63,60,55,68,148,73,11,6,0,29,32,28,34,
E01000120,Barnet,E09000003,505,56,31,50,49,133,74,5,9,2,23,8,32,33,
E01000121,Barnet,E09000003,501,31,92,11,27,95,27,10,22,2,94,48,25,17,
E01000122,Barnet,E09000003,522,63,60,27,56,131,47,18,11,3,23,25,25,33,
E01000123,Barnet,E09000003,685,54,161,29,68,116,41,37,18,5,54,31,24,47,
E01000124,Barnet,E09000003,660,62,154,20,49,96,30,36,18,2,69,33,36,55,
E01000126,Barnet,E09000003,726,42,131,14,49,137,32,21,25,6,120,38,63,48,
E01000127,Barnet,E09000003,514,45,57,14,32,94,39,14,15,3,78,33,45,45,
E01000128,Barnet,E09000003,624,58,62,25,57,127,40,9,19,0,95,42,50,40,
E01000129,Barnet,E09000003,624,84,94,7,31,91,29,9,19,3,89,48,52,68,
E01000130,Barnet,E09000003,570,32,92,8,54,88,34,21,16,4,89,40,46,46,
E01000131,Barnet,E09000003,634,54,100,30,51,115,39,21,12,2,48,31,59,72,
E01000132,Barnet,E09000003,495,36,58,17,17,94,25,10,23,0,93,43,36,43,
E01000133,Barnet,E09000003,565,57,76,15,38,94,43,9,10,8,86,37,42,50,
E01000134,Barnet,E09000003,625,66,118,19,51,99,33,25,17,4,80,36,46,31,
E01000135,Barnet,E09000003,541,47,81,50,39,114,39,25,10,0,11,29,29,67,
E01000136,Barnet,E09000003,563,52,90,65,52,124,33,22,7,1,24,12,25,56,
E01000137,Barnet,E09000003,669,77,139,21,32,110,19,28,12,1,94,36,39,61,
E01000138,Barnet,E09000003,523,62,87,26,34,97,35,10,17,1,39,19,28,68,
E01000139,Barnet,E09000003,560,55,96,36,51,98,33,27,2,2,24,14,27,95,
E01000140,Barnet,E09000003,683,68,169,22,47,87,16,30,8,3,40,28,24,141,
E01000141,Barnet,E09000003,864,42,248,8,58,99,13,53,21,4,99,27,43,149,
E01000142,Barnet,E09000003,950,43,270,20,70,163,35,66,18,3,87,30,45,100,
E01000143,Barnet,E09000003,538,41,134,21,28,81,13,29,14,1,70,29,25,52,
E01000144,Barnet,E09000003,607,57,141,19,48,86,23,49,10,2,22,15,25,110,
E01000145,Barnet,E09000003,444,44,47,28,32,127,35,5,3,1,20,16,22,64,
E01000146,Barnet,E09000003,744,74,195,29,70,83,26,42,3,0,37,21,23,141,
E01000147,Barnet,E09000003,544,47,61,45,47,99,53,11,2,1,14,30,61,73,
E01000150,Barnet,E09000003,744,60,118,40,69,132,64,22,19,5,45,39,51,80,
E01000151,Barnet,E09000003,617,34,165,9,15,107,19,7,23,0,118,29,55,36,
E01000152,Barnet,E09000003,564,16,73,12,21,104,16,11,31,3,154,41,46,36,
E01000153,Barnet,E09000003,620,56,149,23,40,76,24,21,21,5,101,40,35,29,
E01000154,Barnet,E09000003,501,41,111,15,29,59,35,9,12,4,74,24,42,46,
E01000156,Barnet,E09000003,751,67,136,28,55,145,30,46,43,3,60,25,18,95,
E01000157,Barnet,E09000003,689,48,206,19,53,91,26,58,29,2,68,28,14,47,
E01000158,Barnet,E09000003,718,54,158,20,58,128,51,20,28,3,73,32,21,72,
E01000159,Barnet,E09000003,645,62,69,49,59,136,68,17,19,0,59,40,36,31,
E01000160,Barnet,E09000003,923,51,268,24,96,122,39,76,32,2,69,46,20,78,
E01000161,Barnet,E09000003,556,46,120,21,53,84,23,33,13,0,40,23,15,85,
E01000162,Barnet,E09000003,552,53,89,21,46,112,51,12,15,2,41,26,31,53,
E01000163,Barnet,E09000003,759,47,271,9,43,84,23,33,28,3,102,43,18,55,
E01000164,Barnet,E09000003,648,52,128,12,37,98,32,25,27,2,93,47,30,65,
E01000165,Barnet,E09000003,707,44,150,20,62,149,39,25,25,1,53,32,31,76,
E01000166,Barnet,E09000003,648,94,115,39,62,124,46,24,15,3,48,25,24,29,
E01000167,Barnet,E09000003,522,52,85,25,41,95,41,15,15,9,64,36,12,32,
E01000168,Barnet,E09000003,576,55,48,89,67,142,71,13,11,4,16,17,20,23,
